Index,Puzzle,Year,Category,INF-WC,INF-NWC,INF-stacking,INF-all,RMSD,DI-all,MCQ,p-value
34,PZ33,2020,Human,"0,75",0,"0,639","0,642","9,31","14,491","20,72","0,00000127"
34,PZ33,2020,Human,"0,581",0,"0,67","0,609","9,344","15,34","25,46","0,00000139"
34,PZ33,2020,Human,"0,722",0,"0,631","0,607","9,457","15,586","27,38","0,00000189"
34,PZ33,2020,Human,"0,645","0,289","0,806","0,727","9,561","13,144","33,38","0,00000249"
34,PZ33,2020,Human,"0,775",0,"0,676","0,655","9,679","14,779","27,53","0,0000034"
34,PZ33,2020,Human,"0,766",0,"0,703","0,703","9,69","13,79","23,07","0,0000035"
34,PZ33,2020,Human,"0,829","0,218","0,662","0,665","9,74","14,655","24,16","0,00000399"
34,PZ33,2020,Human,"0,65",0,"0,686","0,612","9,877","16,152","27,82","0,00000568"
34,PZ33,2020,Human,"0,901","0,577","0,642","0,716","9,963","13,916","26,38","0,00000706"
34,PZ33,2020,Server,"0,775","0,577","0,761","0,755","10,219","13,531","21,6","0,0000134"
34,PZ33,2020,Human,"0,735","0,5","0,654","0,668","10,433","15,623","21,86","0,0000225"
34,PZ33,2020,Human,0,0,"0,638","0,411","11,099","26,98","22,74","0,000103"
34,PZ33,2020,Human,"0,829",0,"0,609","0,647","11,196","17,305","28,43","0,000128"
34,PZ33,2020,Human,"0,802","0,316","0,797","0,766","11,545","15,07","23,31","0,000267"
34,PZ33,2020,Server,"0,935","0,354","0,746","0,777","11,799","15,185","19,81","0,000447"
34,PZ33,2020,Human,"0,763","0,25","0,725","0,699","11,8","16,876","23,89","0,000448"
34,PZ33,2020,Human,"0,567",0,"0,521","0,45","11,855","26,332","26,11","0,000499"
34,PZ33,2020,Server,"0,802","0,224","0,794","0,747","12,205","16,34","22,23","0,000979"
34,PZ33,2020,Human,0,0,"0,56","0,382","12,235","32,039","23,56","0,00104"
34,PZ33,2020,Human,0,0,"0,606","0,404","12,355","30,618","17,53","0,00129"
34,PZ33,2020,Human,"0,829",0,"0,726","0,732","12,37","16,9","25,03","0,00133"
34,PZ33,2020,Human,"0,722",0,"0,578","0,573","12,485","21,805","24,96","0,00164"
34,PZ33,2020,Human,0,0,"0,553","0,362","13,001","35,907","19,59","0,00397"
34,PZ33,2020,Human,"0,735",0,"0,722","0,65","13,315","20,5","28,1","0,00657"
34,PZ33,2020,Human,0,0,"0,611","0,4","13,411","33,523","22,05","0,00762"
34,PZ33,2020,Human,"0,53",0,"0,382","0,383","13,445","35,067","33,05","0,00803"
34,PZ33,2020,Human,"0,619",0,"0,573","0,519","13,722","26,437","27,39","0,0121"
34,PZ33,2020,Human,"0,829",0,"0,612","0,655","13,824","21,104","24,38","0,014"
34,PZ33,2020,Human,0,0,"0,639","0,414","14,351","34,628","23,27","0,0284"
34,PZ33,2020,Human,"0,875","0,5","0,764","0,781","14,385","18,42","23,03","0,0297"
34,PZ33,2020,Human,"0,763",0,"0,655","0,665","14,496","21,812","26,06","0,0341"
34,PZ33,2020,Human,"0,401","0,354","0,676","0,583","14,508","24,898","18,35","0,0346"
34,PZ33,2020,Human,0,0,"0,551","0,366","14,697","40,106","24,7","0,0435"
34,PZ33,2020,Human,"0,583",0,"0,542","0,519","14,767","28,451","25,63","0,0471"
34,PZ33,2020,Human,"0,829",0,"0,522","0,595","15,566","26,173","20,75","0,11"
34,PZ33,2020,Human,0,0,"0,648","0,426","16,158","37,91","21,41","0,184"
34,PZ33,2020,Human,0,0,"0,578","0,363","17,612","48,486","19,89","0,463"
34,PZ33,2020,Human,0,0,"0,507","0,34","18,943","55,687","25,15","0,741"
34,PZ33,2020,Human,0,0,"0,567","0,341","21,681","63,657","21,75","0,985"
35,PZ34,2022,Human,"0,927",0,"0,667","0,7","8,707","12,438","21,54",0
35,PZ34,2022,Human,"0,927",0,"0,667","0,7","8,707","12,438","21,54",0
35,PZ34,2022,Human,"0,878",0,"0,65","0,649","8,961","13,814","24,47",0
35,PZ34,2022,Human,"0,878",0,"0,65","0,649","8,961","13,814","24,47",0
35,PZ34,2022,Server,"0,798",0,"0,657","0,672","9,069","13,49","18,82",0
35,PZ34,2022,Human,"0,865",0,"0,616","0,663","9,446","14,257","21,37",0
35,PZ34,2022,Server,"0,798",0,"0,662","0,676","10,133","14,991","18,52",0
35,PZ34,2022,Server,"0,802",0,"0,703","0,704","10,332","14,684","16,11",0
35,PZ34,2022,Server,"0,802",0,"0,703","0,704","10,332","14,684","16,11",0
35,PZ34,2022,Server,"0,873",0,"0,714","0,732","10,334","14,126","15,75",0
35,PZ34,2022,Server,"0,865",0,"0,697","0,712","10,591","14,881","16,91",0
35,PZ34,2022,Server,"0,84",0,"0,679","0,704","10,598","15,056","22,67",0
35,PZ34,2022,Server,"0,784",0,"0,663","0,673","10,608","15,761","17,39",0
35,PZ34,2022,Server,"0,865",0,"0,72","0,716","10,619","14,838","17,77",0
35,PZ34,2022,Human,"0,798",0,"0,682","0,685","10,673","15,572","16,63",0
35,PZ34,2022,Server,"0,798",0,"0,682","0,685","10,673","15,572","16,63",0
35,PZ34,2022,Server,"0,846",0,"0,703","0,712","10,887","15,3","17,19",0
35,PZ34,2022,Server,"0,846",0,"0,703","0,712","10,887","15,3","17,19",0
35,PZ34,2022,Human,"0,927",0,"0,72","0,72","10,931","15,19","20,35",0
35,PZ34,2022,Human,"0,927",0,"0,72","0,72","10,931","15,19","20,35",0
35,PZ34,2022,Server,"0,846",0,"0,654","0,671","11,14","16,604","21,07",0
35,PZ34,2022,Human,"0,829",0,"0,72","0,732","11,176","15,263","19,09",0
35,PZ34,2022,Server,"0,798",0,"0,709","0,712","11,238","15,794","15,76",0
35,PZ34,2022,Server,"0,813",0,"0,686","0,692","11,371","16,43","16,86",0
35,PZ34,2022,Server,"0,84",0,"0,709","0,716","11,459","16,016","18,16",0
35,PZ34,2022,Server,"0,798",0,"0,674","0,684","11,564","16,904","17,36",0
35,PZ34,2022,Server,"0,786",0,"0,709","0,692","11,601","16,763","18,48",0
